cluster,rank,gene
Cancer.cell.1,1,DAPL1
Cancer.cell.1,2,SCGB2A1
Cancer.cell.1,3,CRABP1
Cancer.cell.1,4,SCGB1D2
Cancer.cell.1,5,THSD4
Cancer.cell.2,1,S100A9
Cancer.cell.2,2,KRT17
Cancer.cell.2,3,LCN2
Cancer.cell.2,4,TACSTD2
Cancer.cell.2,5,KRT7
Cancer.cell.2,6,S100A10
Cancer.cell.2,7,GPRC5A
Cancer.cell.2,8,SLPI
Cancer.cell.2,9,MMP7
Cancer.cell.2,10,S100A11
Cancer.cell.2,11,KRT19
Cancer.cell.2,12,CRYAB
Cancer.cell.2,13,IGFBP3
Cancer.cell.2,14,S100A6
Cancer.cell.2,15,TAGLN
Cancer.cell.2,16,ANXA1
Cancer.cell.2,17,CST6
Cancer.cell.2,18,C19orf33
Cancer.cell.2,19,S100A2
Cancer.cell.2,20,EMP1
Cancer.cell.2,21,ADIRF
Cancer.cell.2,22,ANXA2
Cancer.cell.2,23,RARRES1
Cancer.cell.2,24,MUC4
Cancer.cell.2,25,MAL2
Cancer.cell.2,26,LGALS3
Cancer.cell.2,27,CAST
Cancer.cell.2,28,SOX4
Cancer.cell.2,29,CCND1
Cancer.cell.2,30,MFGE8
Cancer.cell.2,31,TFPI2
Cancer.cell.2,32,LYPD2
Cancer.cell.2,33,TNFRSF12A
Cancer.cell.2,34,CAMK2N1
Cancer.cell.2,35,PERP
Cancer.cell.2,36,TGM2
Cancer.cell.2,37,RAB11FIP1
Cancer.cell.2,38,MUC16
Cancer.cell.2,39,CLDN4
Cancer.cell.2,40,EZR
Cancer.cell.2,41,SCEL
Cancer.cell.2,42,CTSD
Cancer.cell.2,43,ITGB8
Cancer.cell.2,44,HEBP2
Cancer.cell.2,45,SVIL
Cancer.cell.2,46,C15orf48
Cancer.cell.2,47,FTH1
Cancer.cell.2,48,S100A16
Cancer.cell.2,49,UPK1B
Cancer.cell.2,50,FXYD3
Cancer.cell.3,1,CXCL10
Cancer.cell.3,2,ISG15
Cancer.cell.3,3,IFIT3
Cancer.cell.3,4,IFIT1
Cancer.cell.3,5,MX1
Cancer.cell.3,6,IFIT2
Cancer.cell.3,7,IFI6
Cancer.cell.3,8,PARP14
Cancer.cell.3,9,IFI44L
Cancer.cell.3,10,TNFSF10
Cancer.cell.3,11,GBP4
