stage_transition,annotation,source_fraction,target_fraction,log2_target_over_source_fraction,source_certified_rejection,target_certified_rejection,source_certified_pair_n,target_certified_pair_n,calibration_supported,directional_rejection,directional_rejection_certified,directional_rejection_all_pairs,disappearance_score,emergence_score
E9.5 → E10.5,AGM,0.0806818905061571,0.0734764875239923,-0.1347871042709963,0.1691746173163436,0.1016326530612244,5,2,True,-0.06754196425511919,-0.06754196425511919,-0.10771166917814261,0.0228025567842239,0.0
E9.5 → E10.5,Blood vessel,0.0,0.0358809993905286,8.491091448507971,0.0,0.0211528114070486,0,3,True,0.0211528114070486,0.0211528114070486,0.1188142094879382,0.0,0.17961045605029224
E9.5 → E10.5,Brain,0.1823675556460522,0.1604045320166275,-0.18502592883324054,0.0921089107509475,0.1186505011688906,5,5,True,0.0265415904179431,0.0265415904179431,0.005014888165338599,0.017042536765512116,0.0
E9.5 → E10.5,Branchial arch,0.105114366691258,0.0323181200526781,-1.6984593779625212,0.1344406587166381,0.1118563058896083,4,3,True,-0.022584352827029794,-0.022584352827029794,-0.039685789110076794,0.22834199757673276,0.0
E9.5 → E10.5,Choroid plexus,0.0,0.0152520830391187,7.262290609951189,0.0,0.0,0,0,False,0.3462962962962962,,0.3462962962962962,0.0,0.0
E9.5 → E10.5,Connective tissue,0.0309935877957743,0.0703252547720275,1.1794757832018854,0.2313677898343802,0.1365971217556575,2,5,True,-0.0947706680787227,-0.0947706680787227,-0.05990549100666409,0.0,0.16111299716587743
E9.5 → E10.5,Dermomyotome,0.0542635658914728,0.046603587063974,-0.2191067302636127,0.0,0.0,0,0,False,-0.2110123210123211,,-0.2110123210123211,0.0,0.0
E9.5 → E10.5,Dorsal root ganglion,0.0,0.0617790194664744,9.273306525830215,0.0,0.2502396931927133,0,1,True,0.2502396931927133,0.2502396931927133,0.1772863141595869,0.0,2.3205493799057386
E9.5 → E10.5,Head mesenchyme,0.0461005314726401,0.0737693055827837,0.6770655675582989,0.1953485763538364,0.0728542110182361,5,5,True,-0.1224943653356003,-0.1224943653356003,-0.0483367618997978,0.0,0.0493270777320741
E9.5 → E10.5,Heart,0.1188430253481039,0.048302713633844,-1.2971108389720811,0.07780020821417,0.5577658662035867,5,5,True,0.4799656579894167,0.4799656579894167,0.3448530900394099,0.10091549334888464,0.0
E9.5 → E10.5,Jaw and tooth,0.0,0.0850162406439768,9.733290622051058,0.0,0.0,0,0,False,0.1086378737541527,,0.1086378737541527,0.0,0.0
E9.5 → E10.5,Liver,0.0257903171692538,0.017786768160565,-0.5335198989725025,0.2649090909090908,0.2393465241058552,5,5,True,-0.025562566803235626,-0.025562566803235626,-0.06486199858083291,0.14133427141871563,0.0
E9.5 → E10.5,Lung primordium,0.0826352817306124,0.0446972255576021,-0.8850933010703355,0.2991881287126746,0.208178189241265,5,5,True,-0.09100993947140959,-0.09100993947140959,-0.08398146991954458,0.26480940848335754,0.0
E9.5 → E10.5,Meninges,0.0,0.0352685838307108,8.466324644004022,0.0,0.2153846153846154,0,1,True,0.2153846153846154,0.2153846153846154,0.1849999999999999,0.0,1.8235160771700971
E9.5 → E10.5,Mesenchyme,0.0989212814634936,0.091997824463555,-0.10457154240999846,0.0989076758236983,0.154437940330965,5,3,True,0.0555302645072667,0.0555302645072667,0.09461814197134757,0.010342928217072247,0.0
E9.5 → E10.5,Mucosal epithelium,0.0,0.1064821352916254,10.057749926454772,0.0,0.0,0,0,False,0.2488063660477453,,0.2488063660477453,0.0,0.0
E9.5 → E10.5,Neural crest,0.2003577817531306,0.0,-10.96908270853011,0.0,0.0,0,0,False,-0.1249999999999999,,-0.1249999999999999,0.0,0.0
E9.5 → E10.5,Notochord,0.02953164391633,0.0262674763451489,-0.16837917076722073,0.0,0.0,0,0,False,-0.2365035441604722,,-0.2365035441604722,0.0,0.0
E9.5 → E10.5,Pancreas primordium,0.0294802172226532,0.0,-8.208488836697637,0.0,0.0,0,0,False,-0.3026315789473683,,-0.3026315789473683,0.0,0.0
E9.5 → E10.5,Primitive gut tube,0.0396660400752786,0.0752170374389582,0.9214393484129427,0.3915875522468495,0.2037871956717764,5,1,True,-0.1878003565750731,-0.1878003565750731,-0.15067291053516793,0.0,0.1877775407947025
